InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
502380,P004,Laptop Stand,4,2023-02-07,29.99,10043,Switzerland,119.96
502381,P006,Noise Cancelling Headphones,3,2023-11-23,129.99,10190,Germany,389.97
502382,P003,USB-C Cable,1,2023-08-15,9.99,10323,Spain,9.99
502383,P004,Laptop Stand,2,2023-10-22,29.99,10089,France,59.98
502384,P001,Wireless Mouse,4,2023-07-06,15.99,10306,Netherlands,63.96
502385,P008,Bluetooth Speaker,1,2023-08-12,39.99,10438,United Kingdom,39.99
502386,P004,Laptop Stand,5,2023-12-31,29.99,10318,Italy,149.95
502387,P007,Portable SSD,1,2023-08-17,99.99,10196,United Kingdom,99.99
502388,P006,Noise Cancelling Headphones,3,2023-03-18,129.99,10283,Netherlands,389.97
502389,P002,Mechanical Keyboard,1,2023-07-07,79.99,10061,France,79.99
502390,P007,Portable SSD,2,2023-09-27,99.99,10095,Belgium,199.98
502391,P007,Portable SSD,4,2023-02-08,99.99,10012,United Kingdom,399.96
502392,P008,Bluetooth Speaker,1,2023-11-29,39.99,10425,Germany,39.99
502393,P006,Noise Cancelling Headphones,3,2023-07-10,129.99,10153,Italy,389.97
502394,P002,Mechanical Keyboard,4,2023-02-22,79.99,10425,Italy,319.96
502395,P005,Webcam,3,2023-05-11,49.99,10073,United Kingdom,149.97
502396,P001,Wireless Mouse,5,2023-09-03,15.99,10213,Italy,79.95
502397,P006,Noise Cancelling Headphones,2,2023-07-27,129.99,10219,Germany,259.98
502398,P005,Webcam,5,2023-07-19,49.99,10354,Netherlands,249.95000000000002
502399,P001,Wireless Mouse,1,2023-01-06,15.99,10490,France,15.99
502400,P003,USB-C Cable,3,2023-09-13,9.99,10353,Germany,29.97
502401,P006,Noise Cancelling Headphones,3,2023-03-17,129.99,10496,Netherlands,389.97
502402,P008,Bluetooth Speaker,1,2023-11-11,39.99,10050,Switzerland,39.99
502403,P005,Webcam,5,2023-09-12,49.99,10129,Belgium,249.95000000000002
502404,P008,Bluetooth Speaker,5,2023-07-09,39.99,10007,France,199.95000000000002
502405,P005,Webcam,4,2023-12-11,49.99,10082,France,199.96
502406,P001,Wireless Mouse,1,2023-10-14,15.99,10001,United Kingdom,15.99
502407,P007,Portable SSD,5,2023-09-07,99.99,10245,Germany,499.95
502408,P002,Mechanical Keyboard,4,2023-01-13,79.99,10191,Switzerland,319.96
502409,P001,Wireless Mouse,5,2023-05-07,15.99,10271,United Kingdom,79.95
502410,P005,Webcam,2,2023-04-24,49.99,10271,Italy,99.98
502411,P005,Webcam,1,2023-10-03,49.99,10101,France,49.99
502412,P002,Mechanical Keyboard,4,2023-07-24,79.99,10484,United Kingdom,319.96
502413,P007,Portable SSD,1,2023-09-30,99.99,10442,Spain,99.99
502414,P006,Noise Cancelling Headphones,2,2023-11-24,129.99,10412,Germany,259.98
502415,P005,Webcam,2,2023-08-07,49.99,10440,Spain,99.98
502416,P008,Bluetooth Speaker,5,2023-10-06,39.99,10078,Switzerland,199.95000000000002
502417,P004,Laptop Stand,3,2023-04-21,29.99,10034,Germany,89.97
502418,P001,Wireless Mouse,3,2023-09-26,15.99,10013,Italy,47.97
502419,P001,Wireless Mouse,5,2023-06-05,15.99,10346,France,79.95
502420,P001,Wireless Mouse,1,2023-07-08,15.99,10183,Italy,15.99
502421,P006,Noise Cancelling Headphones,2,2023-09-03,129.99,10300,United Kingdom,259.98
502422,P007,Portable SSD,2,2023-10-13,99.99,10174,Spain,199.98
502423,P005,Webcam,5,2023-04-06,49.99,10352,Belgium,249.95000000000002
502424,P006,Noise Cancelling Headphones,2,2023-08-09,129.99,10016,Netherlands,259.98
502425,P005,Webcam,2,2023-09-26,49.99,10144,Germany,99.98
502426,P003,USB-C Cable,3,2023-04-04,9.99,10453,Belgium,29.97
502427,P004,Laptop Stand,5,2023-04-22,29.99,10386,Spain,149.95
502428,P006,Noise Cancelling Headphones,1,2023-04-26,129.99,10389,United Kingdom,129.99
502429,P006,Noise Cancelling Headphones,1,2023-06-29,129.99,10024,Netherlands,129.99
502430,P003,USB-C Cable,2,2023-12-30,9.99,10140,Netherlands,19.98
502431,P001,Wireless Mouse,5,2023-06-29,15.99,10249,Germany,79.95
502432,P004,Laptop Stand,1,2023-11-09,29.99,10457,Netherlands,29.99
502433,P007,Portable SSD,4,2023-05-17,99.99,10037,Belgium,399.96
502434,P004,Laptop Stand,1,2023-02-13,29.99,10159,United Kingdom,29.99
502435,P001,Wireless Mouse,3,2023-11-27,15.99,10465,United Kingdom,47.97
502436,P006,Noise Cancelling Headphones,2,2023-07-27,129.99,10362,Switzerland,259.98
502437,P006,Noise Cancelling Headphones,1,2023-10-15,129.99,10430,Italy,129.99
502438,P001,Wireless Mouse,4,2023-08-25,15.99,10431,Belgium,63.96
502439,P006,Noise Cancelling Headphones,1,2023-03-13,129.99,10055,United Kingdom,129.99
502440,P003,USB-C Cable,3,2023-07-09,9.99,10480,Spain,29.97
502441,P007,Portable SSD,4,2023-11-17,99.99,10433,Switzerland,399.96
502442,P001,Wireless Mouse,3,2023-08-20,15.99,10410,Belgium,47.97
502443,P002,Mechanical Keyboard,2,2023-07-09,79.99,10012,Germany,159.98
502444,P001,Wireless Mouse,3,2023-05-19,15.99,10195,France,47.97
502445,P004,Laptop Stand,3,2023-12-17,29.99,10244,Spain,89.97
502446,P007,Portable SSD,1,2023-08-09,99.99,10269,Netherlands,99.99
502447,P002,Mechanical Keyboard,5,2023-12-07,79.99,10036,Italy,399.95
502448,P001,Wireless Mouse,2,2023-04-12,15.99,10069,Spain,31.98
502449,P006,Noise Cancelling Headphones,5,2023-07-11,129.99,10388,Netherlands,649.95
502450,P007,Portable SSD,3,2023-11-06,99.99,10330,Spain,299.96999999999997
502451,P002,Mechanical Keyboard,1,2023-08-15,79.99,10141,Switzerland,79.99
502452,P001,Wireless Mouse,3,2023-05-19,15.99,10036,Netherlands,47.97
502453,P007,Portable SSD,1,2023-05-29,99.99,10169,United Kingdom,99.99
502454,P006,Noise Cancelling Headphones,3,2023-03-04,129.99,10196,Belgium,389.97
502455,P007,Portable SSD,3,2023-12-25,99.99,10283,Italy,299.96999999999997
502456,P002,Mechanical Keyboard,4,2023-09-30,79.99,10162,Spain,319.96
502457,P006,Noise Cancelling Headphones,3,2023-07-03,129.99,10179,Belgium,389.97
502458,P002,Mechanical Keyboard,4,2023-02-07,79.99,10163,Netherlands,319.96
502459,P002,Mechanical Keyboard,5,2023-09-01,79.99,10122,Italy,399.95
502460,P004,Laptop Stand,4,2023-08-02,29.99,10066,Italy,119.96
502461,P005,Webcam,2,2023-06-26,49.99,10048,United Kingdom,99.98
502462,P005,Webcam,3,2023-06-13,49.99,10223,Switzerland,149.97
502463,P002,Mechanical Keyboard,2,2023-09-26,79.99,10410,Italy,159.98
502464,P006,Noise Cancelling Headphones,4,2023-02-27,129.99,10368,Belgium,519.96
502465,P007,Portable SSD,1,2023-04-15,99.99,10111,Belgium,99.99
502466,P004,Laptop Stand,4,2023-09-04,29.99,10374,Spain,119.96
502467,P003,USB-C Cable,4,2023-03-24,9.99,10416,France,39.96
502468,P002,Mechanical Keyboard,2,2023-09-09,79.99,10242,Spain,159.98
502469,P001,Wireless Mouse,3,2023-08-26,15.99,10335,Switzerland,47.97
502470,P002,Mechanical Keyboard,3,2023-10-11,79.99,10076,Netherlands,239.96999999999997
502471,P008,Bluetooth Speaker,1,2023-07-29,39.99,10293,Switzerland,39.99
502472,P003,USB-C Cable,1,2023-07-27,9.99,10133,Germany,9.99
502473,P005,Webcam,2,2023-05-17,49.99,10061,Belgium,99.98
502474,P001,Wireless Mouse,4,2023-10-14,15.99,10268,Belgium,63.96
502475,P007,Portable SSD,5,2023-01-25,99.99,10140,France,499.95
502476,P008,Bluetooth Speaker,2,2023-03-08,39.99,10154,Switzerland,79.98
502477,P001,Wireless Mouse,2,2023-04-28,15.99,10112,Italy,31.98
502478,P001,Wireless Mouse,2,2023-03-14,15.99,10377,Switzerland,31.98
502479,P007,Portable SSD,2,2023-12-26,99.99,10043,Spain,199.98
502480,P005,Webcam,2,2023-07-30,49.99,10077,Belgium,99.98
502481,P005,Webcam,3,2023-06-01,49.99,10040,Switzerland,149.97
502482,P004,Laptop Stand,5,2023-07-14,29.99,10216,Spain,149.95
502483,P005,Webcam,2,2023-10-10,49.99,10256,France,99.98
502484,P008,Bluetooth Speaker,1,2023-09-28,39.99,10249,Switzerland,39.99
502485,P004,Laptop Stand,3,2023-04-15,29.99,10164,France,89.97
502486,P007,Portable SSD,5,2023-02-13,99.99,10174,United Kingdom,499.95
502487,P007,Portable SSD,2,2023-06-24,99.99,10187,Italy,199.98
502488,P002,Mechanical Keyboard,2,2023-12-17,79.99,10149,United Kingdom,159.98
502489,P004,Laptop Stand,2,2023-12-06,29.99,10434,France,59.98
502490,P007,Portable SSD,4,2023-05-12,99.99,10416,Italy,399.96
502491,P005,Webcam,1,2023-09-03,49.99,10452,France,49.99
502492,P002,Mechanical Keyboard,1,2023-03-07,79.99,10199,Belgium,79.99
502493,P002,Mechanical Keyboard,3,2023-05-29,79.99,10385,Italy,239.96999999999997
502494,P001,Wireless Mouse,1,2023-12-06,15.99,10232,Switzerland,15.99
502495,P001,Wireless Mouse,1,2023-04-26,15.99,10120,Germany,15.99
502496,P008,Bluetooth Speaker,5,2023-10-21,39.99,10475,United Kingdom,199.95000000000002
502497,P007,Portable SSD,5,2023-05-23,99.99,10381,Switzerland,499.95
502498,P007,Portable SSD,2,2023-09-07,99.99,10218,United Kingdom,199.98
502499,P007,Portable SSD,4,2023-10-29,99.99,10012,Italy,399.96
502500,P004,Laptop Stand,1,2023-10-04,29.99,10320,France,29.99
502501,P005,Webcam,1,2023-03-11,49.99,10204,Italy,49.99
502502,P002,Mechanical Keyboard,1,2023-12-29,79.99,10443,Switzerland,79.99
502503,P001,Wireless Mouse,4,2023-10-30,15.99,10476,Germany,63.96
502504,P008,Bluetooth Speaker,4,2023-04-01,39.99,10045,United Kingdom,159.96
502505,P006,Noise Cancelling Headphones,2,2023-05-29,129.99,10305,France,259.98
502506,P002,Mechanical Keyboard,4,2023-08-15,79.99,10215,Switzerland,319.96
502507,P002,Mechanical Keyboard,3,2023-02-09,79.99,10469,Germany,239.96999999999997
502508,P002,Mechanical Keyboard,2,2023-05-18,79.99,10371,Netherlands,159.98
502509,P002,Mechanical Keyboard,1,2023-06-29,79.99,10102,United Kingdom,79.99
502510,P005,Webcam,1,2023-07-19,49.99,10447,Spain,49.99
502511,P001,Wireless Mouse,3,2023-03-02,15.99,10313,United Kingdom,47.97
502512,P001,Wireless Mouse,5,2023-08-25,15.99,10419,Belgium,79.95
502513,P007,Portable SSD,5,2023-11-07,99.99,10113,Italy,499.95
502514,P008,Bluetooth Speaker,5,2023-02-25,39.99,10433,Netherlands,199.95000000000002
502515,P001,Wireless Mouse,3,2023-08-25,15.99,10052,Spain,47.97
502516,P003,USB-C Cable,5,2023-07-16,9.99,10437,Italy,49.95
502517,P004,Laptop Stand,1,2023-02-28,29.99,10283,Netherlands,29.99
502518,P002,Mechanical Keyboard,2,2023-12-26,79.99,10162,Italy,159.98
502519,P007,Portable SSD,4,2023-11-03,99.99,10226,France,399.96
502520,P001,Wireless Mouse,3,2023-04-18,15.99,10477,Belgium,47.97
502521,P006,Noise Cancelling Headphones,4,2023-03-31,129.99,10020,Belgium,519.96
502522,P001,Wireless Mouse,5,2023-08-08,15.99,10381,Netherlands,79.95
502523,P004,Laptop Stand,2,2023-04-04,29.99,10236,France,59.98
502524,P008,Bluetooth Speaker,1,2023-04-13,39.99,10250,France,39.99
502525,P005,Webcam,2,2023-07-03,49.99,10308,Germany,99.98
502526,P007,Portable SSD,2,2023-09-04,99.99,10157,United Kingdom,199.98
502527,P001,Wireless Mouse,4,2023-12-11,15.99,10063,Germany,63.96
502528,P006,Noise Cancelling Headphones,4,2023-10-05,129.99,10329,Spain,519.96
502529,P004,Laptop Stand,5,2023-04-21,29.99,10346,United Kingdom,149.95
502530,P007,Portable SSD,1,2023-11-17,99.99,10124,Italy,99.99
502531,P002,Mechanical Keyboard,1,2023-07-10,79.99,10452,Switzerland,79.99
502532,P001,Wireless Mouse,2,2023-07-01,15.99,10193,Spain,31.98
502533,P005,Webcam,2,2023-12-01,49.99,10192,France,99.98
502534,P007,Portable SSD,1,2023-01-22,99.99,10126,Switzerland,99.99
502535,P004,Laptop Stand,3,2023-07-27,29.99,10173,Netherlands,89.97
502536,P007,Portable SSD,1,2023-01-17,99.99,10284,France,99.99
502537,P006,Noise Cancelling Headphones,2,2023-05-21,129.99,10100,Belgium,259.98
502538,P006,Noise Cancelling Headphones,1,2023-06-15,129.99,10308,Switzerland,129.99
502539,P007,Portable SSD,1,2023-03-19,99.99,10129,Germany,99.99
502540,P006,Noise Cancelling Headphones,5,2023-09-19,129.99,10445,Belgium,649.95
502541,P008,Bluetooth Speaker,3,2023-01-14,39.99,10121,United Kingdom,119.97
502542,P004,Laptop Stand,5,2023-05-23,29.99,10182,Netherlands,149.95
502543,P003,USB-C Cable,5,2023-10-10,9.99,10150,Spain,49.95
502544,P005,Webcam,5,2023-08-29,49.99,10205,Netherlands,249.95000000000002
502545,P002,Mechanical Keyboard,5,2023-06-12,79.99,10263,Netherlands,399.95
502546,P006,Noise Cancelling Headphones,4,2023-01-06,129.99,10217,Italy,519.96
502547,P008,Bluetooth Speaker,5,2023-02-27,39.99,10404,Belgium,199.95000000000002
502548,P005,Webcam,1,2023-08-05,49.99,10202,Switzerland,49.99
502549,P007,Portable SSD,2,2023-01-26,99.99,10303,United Kingdom,199.98
502550,P002,Mechanical Keyboard,5,2023-01-20,79.99,10176,Germany,399.95
502551,P004,Laptop Stand,3,2023-08-30,29.99,10435,Spain,89.97
502552,P001,Wireless Mouse,2,2023-09-30,15.99,10334,Germany,31.98
502553,P006,Noise Cancelling Headphones,1,2023-01-14,129.99,10371,Spain,129.99
502554,P003,USB-C Cable,5,2023-02-13,9.99,10279,Spain,49.95
502555,P007,Portable SSD,3,2023-03-04,99.99,10150,Netherlands,299.96999999999997
502556,P002,Mechanical Keyboard,3,2023-08-27,79.99,10200,Italy,239.96999999999997
502557,P008,Bluetooth Speaker,4,2023-12-03,39.99,10392,Belgium,159.96
502558,P006,Noise Cancelling Headphones,3,2023-04-10,129.99,10224,Italy,389.97
502559,P004,Laptop Stand,3,2023-05-02,29.99,10019,Switzerland,89.97
502560,P006,Noise Cancelling Headphones,4,2023-12-26,129.99,10441,Switzerland,519.96
502561,P008,Bluetooth Speaker,5,2023-05-25,39.99,10381,Switzerland,199.95000000000002
502562,P008,Bluetooth Speaker,3,2023-02-19,39.99,10223,Germany,119.97
502563,P007,Portable SSD,1,2023-12-21,99.99,10071,France,99.99
502564,P005,Webcam,4,2023-05-21,49.99,10185,Italy,199.96
502565,P002,Mechanical Keyboard,2,2023-05-08,79.99,10069,United Kingdom,159.98
502566,P002,Mechanical Keyboard,5,2023-08-27,79.99,10112,Netherlands,399.95
502567,P008,Bluetooth Speaker,4,2023-10-23,39.99,10215,Spain,159.96
502568,P007,Portable SSD,3,2023-07-27,99.99,10228,Italy,299.96999999999997
502569,P004,Laptop Stand,4,2023-07-09,29.99,10038,Netherlands,119.96
502570,P004,Laptop Stand,4,2023-12-12,29.99,10381,United Kingdom,119.96
502571,P004,Laptop Stand,4,2023-12-18,29.99,10231,United Kingdom,119.96
502572,P001,Wireless Mouse,5,2023-07-13,15.99,10449,France,79.95
502573,P001,Wireless Mouse,3,2023-09-03,15.99,10047,France,47.97
502574,P007,Portable SSD,3,2023-06-08,99.99,10385,Italy,299.96999999999997
502575,P005,Webcam,1,2023-02-14,49.99,10426,France,49.99
502576,P002,Mechanical Keyboard,2,2023-09-21,79.99,10425,Germany,159.98
502577,P003,USB-C Cable,4,2023-04-13,9.99,10390,Switzerland,39.96
502578,P001,Wireless Mouse,2,2023-05-05,15.99,10015,United Kingdom,31.98
502579,P007,Portable SSD,1,2023-10-13,99.99,10030,Switzerland,99.99
502580,P008,Bluetooth Speaker,2,2023-08-18,39.99,10119,Switzerland,79.98
502581,P006,Noise Cancelling Headphones,2,2023-07-16,129.99,10297,Germany,259.98
502582,P006,Noise Cancelling Headphones,5,2023-08-09,129.99,10242,Belgium,649.95
502583,P002,Mechanical Keyboard,4,2023-04-08,79.99,10106,Italy,319.96
502584,P005,Webcam,3,2023-06-22,49.99,10026,Germany,149.97
502585,P004,Laptop Stand,5,2023-12-16,29.99,10425,United Kingdom,149.95
502586,P007,Portable SSD,2,2023-04-18,99.99,10350,Germany,199.98
502587,P001,Wireless Mouse,4,2023-04-03,15.99,10132,France,63.96
502588,P001,Wireless Mouse,2,2023-05-26,15.99,10188,Belgium,31.98
502589,P005,Webcam,2,2023-04-06,49.99,10499,Germany,99.98
502590,P006,Noise Cancelling Headphones,1,2023-08-17,129.99,10254,Italy,129.99
502591,P003,USB-C Cable,2,2023-07-31,9.99,10190,United Kingdom,19.98
502592,P006,Noise Cancelling Headphones,3,2023-11-19,129.99,10339,Spain,389.97
502593,P006,Noise Cancelling Headphones,2,2023-05-19,129.99,10400,United Kingdom,259.98
502594,P008,Bluetooth Speaker,3,2023-04-06,39.99,10077,Belgium,119.97
502595,P008,Bluetooth Speaker,4,2023-12-03,39.99,10191,Spain,159.96
502596,P004,Laptop Stand,1,2023-08-02,29.99,10375,Belgium,29.99
502597,P005,Webcam,3,2023-01-22,49.99,10171,Italy,149.97
502598,P003,USB-C Cable,1,2023-05-30,9.99,10209,United Kingdom,9.99
502599,P002,Mechanical Keyboard,3,2023-09-08,79.99,10107,Switzerland,239.96999999999997
502600,P007,Portable SSD,2,2023-01-03,99.99,10201,Germany,199.98
502601,P008,Bluetooth Speaker,1,2023-11-12,39.99,10322,Germany,39.99
502602,P008,Bluetooth Speaker,4,2023-03-28,39.99,10193,Switzerland,159.96
502603,P001,Wireless Mouse,1,2023-01-18,15.99,10113,United Kingdom,15.99
502604,P002,Mechanical Keyboard,1,2023-09-08,79.99,10485,Belgium,79.99
502605,P004,Laptop Stand,1,2023-11-25,29.99,10204,Switzerland,29.99
502606,P007,Portable SSD,2,2023-03-24,99.99,10417,Belgium,199.98
502607,P001,Wireless Mouse,5,2023-06-24,15.99,10365,Italy,79.95
502608,P008,Bluetooth Speaker,5,2023-02-16,39.99,10402,United Kingdom,199.95000000000002
502609,P007,Portable SSD,4,2023-09-13,99.99,10231,Germany,399.96
502610,P005,Webcam,1,2023-08-25,49.99,10491,Switzerland,49.99
502611,P006,Noise Cancelling Headphones,1,2023-03-15,129.99,10257,France,129.99
502612,P008,Bluetooth Speaker,2,2023-11-10,39.99,10384,Belgium,79.98
502613,P007,Portable SSD,1,2023-01-25,99.99,10458,United Kingdom,99.99
502614,P005,Webcam,3,2023-04-26,49.99,10260,Germany,149.97
502615,P004,Laptop Stand,2,2023-09-23,29.99,10494,Netherlands,59.98
502616,P007,Portable SSD,3,2023-01-11,99.99,10073,Germany,299.96999999999997
502617,P005,Webcam,5,2023-08-02,49.99,10420,Switzerland,249.95000000000002
502618,P002,Mechanical Keyboard,5,2023-07-28,79.99,10460,United Kingdom,399.95
502619,P004,Laptop Stand,2,2023-11-28,29.99,10285,United Kingdom,59.98
502620,P008,Bluetooth Speaker,1,2023-10-25,39.99,10063,United Kingdom,39.99
502621,P002,Mechanical Keyboard,2,2023-02-23,79.99,10133,Germany,159.98
502622,P005,Webcam,3,2023-11-27,49.99,10211,Italy,149.97
502623,P002,Mechanical Keyboard,1,2023-08-31,79.99,10048,Spain,79.99
502624,P008,Bluetooth Speaker,2,2023-07-06,39.99,10209,Italy,79.98
502625,P007,Portable SSD,2,2023-05-24,99.99,10103,Spain,199.98
502626,P006,Noise Cancelling Headphones,1,2023-12-30,129.99,10260,Belgium,129.99
502627,P006,Noise Cancelling Headphones,3,2023-08-27,129.99,10078,United Kingdom,389.97
502628,P001,Wireless Mouse,2,2023-03-17,15.99,10216,France,31.98
502629,P002,Mechanical Keyboard,4,2023-11-29,79.99,10181,United Kingdom,319.96
502630,P001,Wireless Mouse,4,2023-09-03,15.99,10111,United Kingdom,63.96
502631,P003,USB-C Cable,2,2023-11-11,9.99,10247,Germany,19.98
502632,P005,Webcam,3,2023-10-10,49.99,10246,Belgium,149.97
502633,P004,Laptop Stand,4,2023-01-12,29.99,10101,Netherlands,119.96
502634,P005,Webcam,5,2023-09-11,49.99,10045,France,249.95000000000002
502635,P003,USB-C Cable,3,2023-01-17,9.99,10440,France,29.97
502636,P003,USB-C Cable,5,2023-10-19,9.99,10034,Belgium,49.95
502637,P001,Wireless Mouse,5,2023-01-08,15.99,10492,Belgium,79.95
502638,P006,Noise Cancelling Headphones,5,2023-03-31,129.99,10379,Italy,649.95
502639,P006,Noise Cancelling Headphones,4,2023-10-11,129.99,10394,Spain,519.96
502640,P003,USB-C Cable,5,2023-06-24,9.99,10022,Netherlands,49.95
502641,P001,Wireless Mouse,4,2023-04-11,15.99,10235,Spain,63.96
502642,P005,Webcam,2,2023-03-12,49.99,10170,Germany,99.98
502643,P008,Bluetooth Speaker,5,2023-06-29,39.99,10346,Italy,199.95000000000002
502644,P004,Laptop Stand,4,2023-10-20,29.99,10370,Belgium,119.96
502645,P007,Portable SSD,5,2023-07-14,99.99,10313,Switzerland,499.95
502646,P008,Bluetooth Speaker,4,2023-10-02,39.99,10227,United Kingdom,159.96
502647,P006,Noise Cancelling Headphones,5,2023-04-16,129.99,10385,Spain,649.95
502648,P006,Noise Cancelling Headphones,5,2023-03-05,129.99,10499,Spain,649.95
502649,P001,Wireless Mouse,5,2023-01-27,15.99,10345,Belgium,79.95
502650,P008,Bluetooth Speaker,4,2023-10-12,39.99,10264,Netherlands,159.96
502651,P007,Portable SSD,4,2023-10-08,99.99,10336,France,399.96
502652,P004,Laptop Stand,4,2023-08-12,29.99,10286,Netherlands,119.96
502653,P007,Portable SSD,2,2023-12-22,99.99,10380,Belgium,199.98
502654,P006,Noise Cancelling Headphones,5,2023-10-02,129.99,10110,Germany,649.95
502655,P002,Mechanical Keyboard,2,2023-05-21,79.99,10027,Spain,159.98
502656,P008,Bluetooth Speaker,3,2023-11-14,39.99,10275,Switzerland,119.97
502657,P003,USB-C Cable,5,2023-12-22,9.99,10314,Italy,49.95
502658,P004,Laptop Stand,4,2023-11-25,29.99,10286,Netherlands,119.96
502659,P005,Webcam,3,2023-02-07,49.99,10178,Netherlands,149.97
502660,P001,Wireless Mouse,4,2023-08-27,15.99,10086,Spain,63.96
502661,P007,Portable SSD,1,2023-05-28,99.99,10174,Italy,99.99
502662,P007,Portable SSD,1,2023-10-15,99.99,10284,Switzerland,99.99
502663,P005,Webcam,4,2023-02-19,49.99,10297,Switzerland,199.96
502664,P005,Webcam,2,2023-01-05,49.99,10071,Italy,99.98
502665,P008,Bluetooth Speaker,4,2023-12-09,39.99,10017,Netherlands,159.96
502666,P006,Noise Cancelling Headphones,3,2023-06-14,129.99,10141,France,389.97
502667,P008,Bluetooth Speaker,2,2023-11-20,39.99,10098,Germany,79.98
502668,P007,Portable SSD,5,2023-10-27,99.99,10268,Netherlands,499.95
502669,P003,USB-C Cable,2,2023-03-18,9.99,10409,Germany,19.98
502670,P007,Portable SSD,2,2023-05-17,99.99,10349,Spain,199.98
502671,P004,Laptop Stand,2,2023-04-05,29.99,10161,Spain,59.98
502672,P002,Mechanical Keyboard,4,2023-05-27,79.99,10410,Netherlands,319.96
502673,P004,Laptop Stand,2,2023-06-08,29.99,10136,United Kingdom,59.98
502674,P004,Laptop Stand,3,2023-12-07,29.99,10049,Netherlands,89.97
502675,P002,Mechanical Keyboard,5,2023-12-05,79.99,10205,France,399.95
502676,P006,Noise Cancelling Headphones,5,2023-10-15,129.99,10170,France,649.95
502677,P001,Wireless Mouse,2,2023-07-06,15.99,10093,France,31.98
502678,P003,USB-C Cable,4,2023-05-18,9.99,10361,Germany,39.96
502679,P006,Noise Cancelling Headphones,2,2023-07-13,129.99,10168,Germany,259.98
502680,P004,Laptop Stand,4,2023-09-30,29.99,10227,Italy,119.96
502681,P001,Wireless Mouse,5,2023-04-17,15.99,10445,Netherlands,79.95
502682,P003,USB-C Cable,1,2023-12-07,9.99,10012,France,9.99
502683,P003,USB-C Cable,4,2023-11-23,9.99,10115,United Kingdom,39.96
502684,P001,Wireless Mouse,2,2023-11-02,15.99,10034,Switzerland,31.98
502685,P007,Portable SSD,4,2023-04-05,99.99,10224,Spain,399.96
502686,P007,Portable SSD,1,2023-08-13,99.99,10360,Netherlands,99.99
502687,P007,Portable SSD,3,2023-12-14,99.99,10267,Spain,299.96999999999997
502688,P005,Webcam,1,2023-02-16,49.99,10087,Switzerland,49.99
502689,P008,Bluetooth Speaker,4,2023-06-30,39.99,10329,France,159.96
502690,P008,Bluetooth Speaker,2,2023-07-18,39.99,10448,France,79.98
502691,P004,Laptop Stand,2,2023-04-16,29.99,10195,Netherlands,59.98
502692,P002,Mechanical Keyboard,4,2023-04-18,79.99,10270,Netherlands,319.96
502693,P003,USB-C Cable,3,2023-10-23,9.99,10035,Netherlands,29.97
502694,P007,Portable SSD,2,2023-06-20,99.99,10218,Belgium,199.98
502695,P006,Noise Cancelling Headphones,3,2023-07-14,129.99,10463,Belgium,389.97
502696,P003,USB-C Cable,4,2023-07-14,9.99,10197,France,39.96
502697,P001,Wireless Mouse,2,2023-10-10,15.99,10360,Italy,31.98
502698,P006,Noise Cancelling Headphones,1,2023-07-01,129.99,10151,Netherlands,129.99
502699,P001,Wireless Mouse,2,2023-11-01,15.99,10261,France,31.98
502700,P003,USB-C Cable,2,2023-11-12,9.99,10374,Germany,19.98
502701,P008,Bluetooth Speaker,4,2023-06-15,39.99,10363,Spain,159.96
502702,P005,Webcam,4,2023-10-08,49.99,10054,France,199.96
502703,P007,Portable SSD,5,2023-09-23,99.99,10402,Netherlands,499.95
502704,P003,USB-C Cable,4,2023-10-25,9.99,10321,Spain,39.96
502705,P008,Bluetooth Speaker,1,2023-11-29,39.99,10069,United Kingdom,39.99
502706,P005,Webcam,1,2023-02-11,49.99,10054,Switzerland,49.99
502707,P007,Portable SSD,5,2023-09-03,99.99,10431,Switzerland,499.95
502708,P008,Bluetooth Speaker,5,2023-01-22,39.99,10457,Italy,199.95000000000002
502709,P002,Mechanical Keyboard,1,2023-08-30,79.99,10375,Switzerland,79.99
502710,P004,Laptop Stand,3,2023-10-10,29.99,10413,United Kingdom,89.97
502711,P008,Bluetooth Speaker,1,2023-12-02,39.99,10210,Switzerland,39.99
502712,P008,Bluetooth Speaker,2,2023-06-09,39.99,10334,Switzerland,79.98
502713,P005,Webcam,2,2023-03-30,49.99,10394,Spain,99.98
502714,P002,Mechanical Keyboard,2,2023-01-12,79.99,10411,France,159.98
502715,P006,Noise Cancelling Headphones,1,2023-03-17,129.99,10349,Belgium,129.99
502716,P002,Mechanical Keyboard,2,2023-07-20,79.99,10195,France,159.98
502717,P001,Wireless Mouse,2,2023-12-18,15.99,10376,Spain,31.98
502718,P005,Webcam,1,2023-08-14,49.99,10485,Belgium,49.99
502719,P001,Wireless Mouse,4,2023-02-08,15.99,10414,France,63.96
502720,P003,USB-C Cable,4,2023-03-07,9.99,10060,United Kingdom,39.96
502721,P004,Laptop Stand,1,2023-05-04,29.99,10107,United Kingdom,29.99
502722,P005,Webcam,4,2023-06-08,49.99,10204,Switzerland,199.96
502723,P003,USB-C Cable,1,2023-03-19,9.99,10299,Italy,9.99
502724,P002,Mechanical Keyboard,2,2023-10-12,79.99,10191,Italy,159.98
502725,P003,USB-C Cable,4,2023-04-11,9.99,10207,Switzerland,39.96
502726,P002,Mechanical Keyboard,4,2023-12-06,79.99,10342,Spain,319.96
